"filename", "language", "Markdown", "YAML", "JSON", "HTML", "XML", "C++", "Swift", "Dart", "Groovy", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\Kostya\Desktop\webant\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Kostya\Desktop\webant\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 3, 10, 62
"c:\Users\Kostya\Desktop\webant\android\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\Kostya\Desktop\webant\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Kostya\Desktop\webant\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 0, 26
"c:\Users\Kostya\Desktop\webant\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Kostya\Desktop\webant\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Kostya\Desktop\webant\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 9, 0, 19
"c:\Users\Kostya\Desktop\webant\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 9, 0, 19
"c:\Users\Kostya\Desktop\webant\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Kostya\Desktop\webant\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\Kostya\Desktop\webant\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Kostya\Desktop\webant\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\Kostya\Desktop\webant\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Kostya\Desktop\webant\assets\images\add_icon.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Kostya\Desktop\webant\assets\images\calendar_icon.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Kostya\Desktop\webant\assets\images\camera_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
